,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(11,)",[0.68099945 0.66538349 0.6796322  0.68048055],0.6766239240734837,"('cat__encoder__internet_service_Fiber optic',)",0.01043218999537454,0.006507992206427276,0.0037573910522647742
2,"(5, 11)",[0.76496228 0.74785631 0.76075951 0.78108124],0.763664832886511,"('num__kbd__total_charges', 'cat__encoder__internet_service_Fiber optic')",0.01902363044496003,0.011867655662775114,0.006851794191552999
3,"(5, 7, 11)",[0.80563812 0.78248604 0.78650888 0.80669379],0.7953317104014873,"('num__kbd__total_charges', 'cat__encoder__type_Two year', 'cat__encoder__internet_service_Fiber optic')",0.017526319681198,0.010933576932855172,0.006312503585389416
4,"(5, 6, 7, 11)",[0.82587719 0.80078268 0.81320696 0.81388884],0.8134389171246915,"('num__kbd__total_charges', 'cat__encoder__type_One year', 'cat__encoder__type_Two year', 'cat__encoder__internet_service_Fiber optic')",0.01422837585485953,0.008876195622836657,0.005124673932224522
5,"(5, 6, 7, 9, 11)",[0.82171394 0.81437687 0.82689238 0.829068  ],0.8230127946915197,"('num__kbd__total_charges', 'cat__encoder__type_One year', 'cat__encoder__type_Two year', 'cat__encoder__payment_method_Electronic check', 'cat__encoder__internet_service_Fiber optic')",0.009067224532585521,0.005656475449369363,0.003265767623357911
6,"(5, 6, 7, 9, 11, 12)",[0.8264885  0.81891283 0.82523216 0.83330977],0.8259858138696738,"('num__kbd__total_charges', 'cat__encoder__type_One year', 'cat__encoder__type_Two year', 'cat__encoder__payment_method_Electronic check', 'cat__encoder__internet_service_Fiber optic', 'cat__encoder__internet_service_None')",0.00819279141033347,0.00511097120268852,0.0029508205996926426
7,"(4, 5, 6, 7, 9, 11, 12)",[0.83388328 0.80893782 0.833458   0.83313645],0.8273538893231216,"('num__kbd__monthly_charges', 'num__kbd__total_charges', 'cat__encoder__type_One year', 'cat__encoder__type_Two year', 'cat__encoder__payment_method_Electronic check', 'cat__encoder__internet_service_Fiber optic', 'cat__encoder__internet_service_None')",0.017049020194412717,0.010635819573996903,0.006140593294099403
8,"(4, 5, 6, 7, 9, 10, 11, 12)",[0.82127761 0.80590473 0.82751724 0.8312573 ],0.821489219609997,"('num__kbd__monthly_charges', 'num__kbd__total_charges', 'cat__encoder__type_One year', 'cat__encoder__type_Two year', 'cat__encoder__payment_method_Electronic check', 'cat__encoder__payment_method_Mailed check', 'cat__encoder__internet_service_Fiber optic', 'cat__encoder__internet_service_None')",0.015514042136536017,0.009678242570306628,0.005587735953249027
9,"(4, 5, 6, 7, 8, 9, 10, 11, 12)",[0.81355786 0.80349194 0.83058454 0.82676695],0.8186003217057093,"('num__kbd__monthly_charges', 'num__kbd__total_charges', 'cat__encoder__type_One year', 'cat__encoder__type_Two year', 'cat__encoder__payment_method_Credit card (automatic)', 'cat__encoder__payment_method_Electronic check', 'cat__encoder__payment_method_Mailed check', 'cat__encoder__internet_service_Fiber optic', 'cat__encoder__internet_service_None')",0.017264732612738566,0.010770389087964407,0.006218287039213259
10,"(4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",[0.80280884 0.79586131 0.82043166 0.81955594],0.8096644343151903,"('num__kbd__monthly_charges', 'num__kbd__total_charges', 'cat__encoder__type_One year', 'cat__encoder__type_Two year', 'cat__encoder__payment_method_Credit card (automatic)', 'cat__encoder__payment_method_Electronic check', 'cat__encoder__payment_method_Mailed check', 'cat__encoder__internet_service_Fiber optic', 'cat__encoder__internet_service_None', 'cat__encoder__gender_Male')",0.017026733945654224,0.010621916574406686,0.006132566393543448
